short_term,long_term,price_range,amp_window,change_holding,amp_lo_threshold,amp_hi_threshold,mse_threshold_1,slope_threshold_1,mse_threshold_2,slope_threshold_2,price_change_threshold,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,score_250,score_500,cv_score
2.0,15.0,3.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,27.50616690935798,,,,,,,,,-8.24204481821037,27.50616690935798,2.058633579612261
2.0,15.0,4.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,25.664960711729936,,,,,,,,,-3.061952173313646,25.664960711729936,11.683232531700789
2.0,15.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,44.32518321704107,,,,,,,,,0.7110292020951476,44.32518321704107,10.506143111494756
2.0,15.0,6.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,29.409277866033015,,,,,,,,,-5.166151075054319,29.409277866033015,11.140038221124396
2.0,15.0,7.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,27.950870454388507,,,,,,,,,-2.2608021061594066,27.950870454388507,12.425374316408197
3.0,15.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,43.683975365377435,,,,,,,,,-0.7501094119878324,43.683975365377435,8.73219077768675
4.0,15.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,41.85298246877541,,,,,,,,,0.7333751466726319,41.85298246877541,9.539478518749418
5.0,15.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,39.20710128105101,,,,,,,,,0.3577029321562648,39.20710128105101,8.259608418872864
6.0,15.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,39.50318890314253,,,,,,,,,-0.33107753849846944,39.50318890314253,7.78301596606142
2.0,20.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,41.298675313317176,,,,,,,,,-1.8984336236088808,41.298675313317176,8.155826899340557
2.0,25.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,36.24024355690767,,,,,,,,,-5.461282689192611,36.24024355690767,4.785378024711216
2.0,30.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,36.92874685588926,,,,,,,,,-7.886408267073136,36.92874685588926,2.9213472682086925
2.0,15.0,5.0,100.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,43.77319551866056,,,,,,,,,2.4918092574273416,43.77319551866056,9.726855030476813
2.0,15.0,5.0,150.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,41.44336442356297,,,,,,,,,-4.85069036578896,41.44336442356297,7.659708410326436
2.0,15.0,5.0,200.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,37.02203157829708,,,,,,,,,-9.089809893597694,37.02203157829708,5.918033867910948
2.0,15.0,5.0,75.0,250.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,37.91608519803436,,,,,,,,,4.492938785552642,37.91608519803436,12.279873430053264
2.0,15.0,5.0,75.0,1000.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,37.298244328020814,,,,,,,,,-8.237356121521646,37.298244328020814,6.066190565022776
2.0,15.0,5.0,75.0,2000.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,30.287912320447276,,,,,,,,,-18.97809056304661,30.287912320447276,-1.9965510536811912
2.0,15.0,5.0,75.0,4000.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,20.61556863337995,,,,,,,,,-19.76544530035142,20.61556863337995,-5.002723709956757
2.0,15.0,5.0,75.0,500.0,7.5,0.5,0.25,0.2,0.02,2.0,0.025,,44.001812770767884,,,,,,,,,-1.6283170751363052,44.001812770767884,9.511689495622024
2.0,15.0,5.0,75.0,500.0,10.0,0.5,0.25,0.2,0.02,2.0,0.025,,46.910605186058596,,,,,,,,,2.6564668240620435,46.910605186058596,11.702094716974099
2.0,15.0,5.0,75.0,500.0,15.0,0.5,0.25,0.2,0.02,2.0,0.025,,42.22721550334562,,,,,,,,,0.010926830430971535,42.22721550334562,8.765962870047574
2.0,15.0,5.0,75.0,500.0,10.0,1.0,0.25,0.2,0.02,2.0,0.025,,46.910605186058596,,,,,,,,,2.6564668240620435,46.910605186058596,11.702094716974099
2.0,15.0,5.0,75.0,500.0,10.0,1.5,0.25,0.2,0.02,2.0,0.025,,46.50753459690874,,,,,,,,,3.446843603616337,46.50753459690874,11.92077739289135
2.0,15.0,5.0,75.0,500.0,10.0,2.0,0.25,0.2,0.02,2.0,0.025,,43.457231003276306,,,,,,,,,3.3399369425542957,43.457231003276306,11.339956211775437
2.0,15.0,5.0,75.0,500.0,10.0,2.5,0.25,0.2,0.02,2.0,0.025,,43.971112476996225,,,,,,,,,3.6480745977620117,43.971112476996225,10.5337779604958
2.0,15.0,5.0,75.0,500.0,10.0,0.5,0.25,0.2,0.02,2.0,0.005,,12.410997007702244,,,,,,,,,6.831059264107179,12.410997007702244,9.701137633570198
2.0,15.0,5.0,75.0,500.0,10.0,0.5,0.25,0.2,0.02,2.0,0.01,,8.438563775998407,,,,,,,,,24.517905541401376,8.438563775998407,22.2657753289329
2.0,15.0,5.0,75.0,500.0,10.0,0.5,0.25,0.2,0.02,2.0,0.05,,23.870297179510946,,,,,,,,,6.480199179106425,23.870297179510946,7.992922044010041
2.0,15.0,5.0,75.0,500.0,10.0,0.5,0.25,0.2,0.02,2.0,0.1,,24.963879349743266,,,,,,,,,8.986357861453882,24.963879349743266,4.116549640880388
2.0,15.0,5.0,75.0,500.0,10.0,0.5,0.25,0.2,0.005,2.0,0.025,,40.61253340186276,,,,,,,,,0.6672054403932499,40.61253340186276,10.802923070752191
2.0,15.0,5.0,75.0,500.0,10.0,0.5,0.25,0.2,0.01,2.0,0.025,,38.60100176864073,,,,,,,,,-1.710505482822402,38.60100176864073,8.458030632368812
2.0,15.0,5.0,75.0,500.0,10.0,0.5,0.25,0.2,0.04,2.0,0.025,,44.204431691608036,,,,,,,,,4.633140937935146,44.204431691608036,13.50242434086087
2.0,15.0,5.0,75.0,500.0,10.0,0.5,0.25,0.2,0.02,0.5,0.025,,37.37149002430532,,,,,,,,,3.870741907076745,37.37149002430532,10.54147360388437
2.0,15.0,5.0,75.0,500.0,10.0,0.5,0.25,0.2,0.02,1.0,0.025,,46.910605186058596,,,,,,,,,2.6564668240620435,46.910605186058596,11.702094716974099
2.0,15.0,5.0,75.0,500.0,10.0,0.5,0.25,0.2,0.02,4.0,0.025,,46.910605186058596,,,,,,,,,2.6564668240620435,46.910605186058596,11.702094716974099
2.0,15.0,5.0,75.0,500.0,10.0,0.5,0.25,0.2,0.02,8.0,0.025,,46.910605186058596,,,,,,,,,2.6564668240620435,46.910605186058596,11.702094716974099
2.0,15.0,5.0,75.0,500.0,10.0,0.5,0.05,0.2,0.02,2.0,0.025,,45.74858212263618,,,,,,,,,7.608771634125006,45.74858212263618,14.771260750330208
2.0,15.0,5.0,75.0,500.0,10.0,0.5,0.15,0.2,0.02,2.0,0.025,,47.34966504117871,,,,,,,,,2.9921492976937074,47.34966504117871,11.449503597361414
2.0,15.0,5.0,75.0,500.0,10.0,0.5,0.35,0.2,0.02,2.0,0.025,,45.86024883202643,,,,,,,,,2.2137265379624083,45.86024883202643,11.663884480501476
2.0,15.0,5.0,75.0,500.0,10.0,0.5,0.15,0.05,0.02,2.0,0.025,,47.267031610350614,,,,,,,,,2.670760766750341,47.267031610350614,12.019364864246132
2.0,15.0,5.0,75.0,500.0,10.0,0.5,0.15,0.1,0.02,2.0,0.025,,47.032088331423566,,,,,,,,,2.802034874320892,47.032088331423566,11.950799423566657
2.0,15.0,5.0,75.0,500.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,48.350314208863495,,,,,,,,,3.499630359965998,48.350314208863495,11.985852698174153
2.0,15.0,5.0,75.0,500.0,10.0,0.5,0.15,0.8,0.02,2.0,0.025,,48.14882163945222,,,,,,,,,3.871748078832084,48.14882163945222,12.126495607729979
2.0,15.0,3.0,75.0,500.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,23.093418983553182,,,,,,,,,-9.194145544165014,23.093418983553182,-2.244664342211986
2.0,15.0,4.0,75.0,500.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,31.5685385564026,,,,,,,,,-1.9338969297017634,31.5685385564026,12.363780276708832
2.0,15.0,6.0,75.0,500.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,29.348371441416468,,,,,,,,,-4.733074571407506,29.348371441416468,11.641556101004069
2.0,15.0,7.0,75.0,500.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,28.036820022587875,,,,,,,,,-3.759669194321404,28.036820022587875,11.063195145706231
3.0,15.0,5.0,75.0,500.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,46.6647821940972,,,,,,,,,3.9172694113014757,46.6647821940972,10.835512161017448
4.0,15.0,5.0,75.0,500.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,44.385095469844,,,,,,,,,4.323367847248274,44.385095469844,11.111855473526525
5.0,15.0,5.0,75.0,500.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,41.65081298544856,,,,,,,,,4.620056593802584,41.65081298544856,11.362017631990891
6.0,15.0,5.0,75.0,500.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,42.46707731739653,,,,,,,,,4.07990895077803,42.46707731739653,11.103229258929584
2.0,20.0,5.0,75.0,500.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,46.7976511282144,,,,,,,,,1.6005921179442666,46.7976511282144,10.530107018032952
2.0,25.0,5.0,75.0,500.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,41.11838404620916,,,,,,,,,-0.7161396138507037,41.11838404620916,8.5020503327859
2.0,30.0,5.0,75.0,500.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,42.28154293633362,,,,,,,,,-2.6413586027064078,42.28154293633362,6.848643966781955
2.0,15.0,5.0,100.0,500.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,48.83864699360318,,,,,,,,,1.6049328748968215,48.83864699360318,9.691695163663478
2.0,15.0,5.0,150.0,500.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,38.285542854231224,,,,,,,,,-9.753042339729175,38.285542854231224,6.049174280675839
2.0,15.0,5.0,200.0,500.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,27.870304146777013,,,,,,,,,-12.135141846956405,27.870304146777013,3.596062802027014
2.0,15.0,5.0,100.0,250.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,32.87312758079444,,,,,,,,,2.3252369638370975,32.87312758079444,8.189619757948464
2.0,15.0,5.0,100.0,1000.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,49.568589782565624,,,,,,,,,-6.036065259557468,49.568589782565624,5.320294526840021
2.0,15.0,5.0,100.0,2000.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,47.7289005885965,,,,,,,,,-9.284653546462991,47.7289005885965,4.9195904844498255
2.0,15.0,5.0,100.0,4000.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,41.688999571153396,,,,,,,,,-16.70227204932376,41.688999571153396,-1.4074415785810999
2.0,15.0,5.0,100.0,1000.0,7.5,0.5,0.15,0.4,0.02,2.0,0.025,,45.13803332349517,,,,,,,,,-10.85406710187609,45.13803332349517,2.604758101742714
2.0,15.0,5.0,100.0,1000.0,12.5,0.5,0.15,0.4,0.02,2.0,0.025,,42.86526463845722,,,,,,,,,-3.11489219745069,42.86526463845722,5.996496084560019
2.0,15.0,5.0,100.0,1000.0,15.0,0.5,0.15,0.4,0.02,2.0,0.025,,40.08838395142393,,,,,,,,,-2.3517779530515988,40.08838395142393,7.532596162231613
2.0,15.0,5.0,100.0,1000.0,10.0,1.0,0.15,0.4,0.02,2.0,0.025,,49.568589782565624,,,,,,,,,-6.036065259557468,49.568589782565624,5.320294526840021
2.0,15.0,5.0,100.0,1000.0,10.0,1.5,0.15,0.4,0.02,2.0,0.025,,48.66582514687966,,,,,,,,,-5.867510308080078,48.66582514687966,5.05109404177682
2.0,15.0,5.0,100.0,1000.0,10.0,2.0,0.15,0.4,0.02,2.0,0.025,,46.01540375523396,,,,,,,,,-6.272085390817082,46.01540375523396,3.188057125693985
2.0,15.0,5.0,100.0,1000.0,10.0,2.5,0.15,0.4,0.02,2.0,0.025,,49.020092456623935,,,,,,,,,-5.421082369304958,49.020092456623935,4.682457514607041
2.0,15.0,5.0,100.0,1000.0,10.0,0.5,0.15,0.4,0.02,2.0,0.005,,6.885652731717988,,,,,,,,,3.384094727178198,6.885652731717988,4.649698371346567
2.0,15.0,5.0,100.0,1000.0,10.0,0.5,0.15,0.4,0.02,2.0,0.01,,3.426343463649193,,,,,,,,,25.01254033634695,3.426343463649193,18.947206125818077
2.0,15.0,5.0,100.0,1000.0,10.0,0.5,0.15,0.4,0.02,2.0,0.05,,17.86734620096293,,,,,,,,,-3.2152271751838306,17.86734620096293,0.8895399890331941
2.0,15.0,5.0,100.0,1000.0,10.0,0.5,0.15,0.4,0.02,2.0,0.1,,22.833541207834706,,,,,,,,,-4.3520960538251785,22.833541207834706,-2.568717560938685
2.0,15.0,5.0,100.0,1000.0,10.0,0.5,0.15,0.4,0.005,2.0,0.025,,38.68644433422557,,,,,,,,,-2.6976726530807262,38.68644433422557,5.878034794506636
2.0,15.0,5.0,100.0,1000.0,10.0,0.5,0.15,0.4,0.01,2.0,0.025,,37.998347371997674,,,,,,,,,-5.07402424919173,37.998347371997674,3.2499275575564415
2.0,15.0,5.0,100.0,1000.0,10.0,0.5,0.15,0.4,0.04,2.0,0.025,,46.93846624182734,,,,,,,,,-2.6012989171852823,46.93846624182734,9.481755323660764
2.0,15.0,5.0,100.0,1000.0,10.0,0.5,0.15,0.4,0.02,0.5,0.025,,36.84564121216888,,,,,,,,,-4.596859990931097,36.84564121216888,3.6773868572233415
2.0,15.0,5.0,100.0,1000.0,10.0,0.5,0.15,0.4,0.02,1.0,0.025,,49.568589782565624,,,,,,,,,-6.036065259557468,49.568589782565624,5.320294526840021
2.0,15.0,5.0,100.0,1000.0,10.0,0.5,0.15,0.4,0.02,4.0,0.025,,49.568589782565624,,,,,,,,,-6.036065259557468,49.568589782565624,5.320294526840021
2.0,15.0,5.0,100.0,1000.0,10.0,0.5,0.15,0.4,0.02,8.0,0.025,,49.568589782565624,,,,,,,,,-6.036065259557468,49.568589782565624,5.320294526840021
2.0,15.0,5.0,100.0,1000.0,10.0,0.5,0.05,0.4,0.02,2.0,0.025,,48.49555486397021,,,,,,,,,-1.8700189811662504,48.49555486397021,5.784897649803453
2.0,15.0,5.0,100.0,1000.0,10.0,0.5,0.25,0.4,0.02,2.0,0.025,,48.63290835919655,,,,,,,,,-6.915001809930985,48.63290835919655,5.258437074852147
2.0,15.0,5.0,100.0,1000.0,10.0,0.5,0.35,0.4,0.02,2.0,0.025,,47.5821258217872,,,,,,,,,-7.852079185709833,47.5821258217872,5.07650093754451
2.0,15.0,5.0,100.0,1000.0,10.0,0.5,0.15,0.05,0.02,2.0,0.025,,49.00943191019534,,,,,,,,,-9.017368307605132,49.00943191019534,5.4924872911823375
2.0,15.0,5.0,100.0,1000.0,10.0,0.5,0.15,0.1,0.02,2.0,0.025,,48.60211831824163,,,,,,,,,-8.922834575373887,48.60211831824163,5.216551607418162
2.0,15.0,5.0,100.0,1000.0,10.0,0.5,0.15,0.2,0.02,2.0,0.025,,47.55652506964995,,,,,,,,,-7.995435195497922,47.55652506964995,4.418989320633376
2.0,15.0,5.0,100.0,1000.0,10.0,0.5,0.15,0.8,0.02,2.0,0.025,,48.89717054958953,,,,,,,,,-5.9176051922759285,48.89717054958953,5.13561381293658
2.0,15.0,3.0,100.0,1000.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,39.01383217578552,,,,,,,,,-22.793610864640556,39.01383217578552,-14.297673803826626
2.0,15.0,4.0,100.0,1000.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,27.005657082679445,,,,,,,,,-9.793934261372687,27.005657082679445,13.974708875521822
2.0,15.0,6.0,100.0,1000.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,23.09154411716387,,,,,,,,,-5.066548242113644,23.09154411716387,11.505648931476824
2.0,15.0,7.0,100.0,1000.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,17.877118968685757,,,,,,,,,-3.697747367497378,17.877118968685757,8.941301059347968
3.0,15.0,5.0,100.0,1000.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,46.29808697794029,,,,,,,,,-3.527113703561195,46.29808697794029,4.245182804142492
4.0,15.0,5.0,100.0,1000.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,46.57079719125302,,,,,,,,,-3.0311120440499195,46.57079719125302,4.8546732639066255
5.0,15.0,5.0,100.0,1000.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,45.91442476695708,,,,,,,,,-3.197234359808146,45.91442476695708,5.2607662124782415
6.0,15.0,5.0,100.0,1000.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,43.790601603017116,,,,,,,,,-6.683860159150445,43.790601603017116,3.2985729160983897
2.0,20.0,5.0,100.0,1000.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,46.5171299534259,,,,,,,,,-8.20368135625706,46.5171299534259,2.9783869723029803
2.0,25.0,5.0,100.0,1000.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,43.72743603645849,,,,,,,,,-11.861176244126366,43.72743603645849,-1.1758043603700292
2.0,30.0,5.0,100.0,1000.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,43.78539456230787,,,,,,,,,-13.107012798343586,43.78539456230787,-2.6392722261390142
2.0,15.0,5.0,75.0,1000.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,43.09811876037567,,,,,,,,,-5.752531835897624,43.09811876037567,7.323803592659203
2.0,15.0,5.0,150.0,1000.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,47.59119644810835,,,,,,,,,-16.770888561972733,47.59119644810835,3.700544642921758
2.0,15.0,5.0,200.0,1000.0,10.0,0.5,0.15,0.4,0.02,2.0,0.025,,36.37049753764083,,,,,,,,,-21.222122574371415,36.37049753764083,2.8768990120621494
